Date,neighborhood
9/7/2011,Norwood Park
9/7/2011,Jefferson Park
9/7/2011,Edison Park
7/17/2013,"Sauganash,Forest Glen"
7/17/2013,O'Hare
7/17/2013,Auburn Gresham
7/17/2013,Washington Heights
7/17/2013,Roseland
7/17/2013,Beverly
7/25/2013,Irving Park
7/25/2013,Avondale
7/25/2013,Albany Park
8/8/2013,Logan Square
8/8/2013,Bucktown
8/8/2013,Avondale
8/8/2013,North Center
8/15/2013,Dunning
8/15/2013,Portage Park
8/15/2013,Austin
8/15/2013,Galewood
8/15/2013,Montclare
8/15/2013,Belmont Cragin
8/16/2013,Portage Park
8/16/2013,Austin
8/22/2013,Garfield Park
8/22/2013,Humboldt Park
8/22/2013,Pullman
8/22/2013,Burnside
8/22/2013,Calumet Heights
8/22/2013,Avalon Park
8/22/2013,Chatham
8/22/2013,Grand Crossing
8/22/2013,Roseland
8/29/2013,West Lawn
8/29/2013,Chicago Lawn
8/29/2013,Clearing
8/29/2013,West Ridge
8/29/2013,Edgewater
8/29/2013,Lincoln Square
9/5/2013,Norwood Park
9/5/2013,Edison Park
9/5/2013,O'Hare
